trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.7, 'e': 0.19204990862075413}",25,14,20.840805432772974,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.7, 'e': 0.18637397603941}",30,18,20.13474495202157,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.7, 'e': 0.1808657926171221}",25,9,-16.022679666351618,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.1755204006169969}",20,11,5.231360952361564,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.17033298882540945}",35,19,29.493974312059866,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.1652988882215866}",25,15,-2.3269301897170838,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.1604135677751728}",25,0,-36.78472759944828,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
63,False,"{'a': 0.7, 'e': 0.15567263036799733}",20,8,-64.9821415851769,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
64,False,"{'a': 0.7, 'e': 0.1510718088363709}",20,11,2.543194131309475,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.14660696213035015}",30,14,30.611034624736657,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.1422740715865136}",30,12,6.663410191493877,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.7, 'e': 0.13806923731089282}",35,22,18.566212164376292,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.133988674668805}",25,8,16.84848792335623,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.7, 'e': 0.13002871087842593}",25,11,1.7319581517803389,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.12618578170503877}",30,21,17.372291048588778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.12245642825298192}",20,12,12.144662754482123,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.7, 'e': 0.11883729385240967}",25,11,26.715622783009024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.11532512103806253}",20,15,12.981729612094098,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.11191674861732889}",20,6,23.419655503478634,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.7, 'e': 0.10860910882495803}",30,19,9.847943440873639,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.10539922456186435}",30,12,-20.35432757638357,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.7, 'e': 0.10228420671553749}",20,12,3.388049585977783,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.09926125155964566}",25,17,10.983511135161988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.09632763823049305}",30,18,-79.55018974951844,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
80,False,"{'a': 0.7, 'e': 0.09348072627805848}",20,14,0.4884356699190846,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.09071795328941253}",20,14,9.590144792392186,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.08803683258237259}",20,1,23.56818949766388,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.08543495096732125}",20,6,26.47177307188553,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.7, 'e': 0.08290996657517272}",35,20,1.6886941123392893,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.08045960674953244}",20,12,13.987385423489194,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.07808166600115318}",30,15,-4.326920016736226,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.07577400402284548}",30,16,11.278719214334107,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
